,x
1,FBgn0000003
2,FBgn0000008
3,FBgn0000014
4,FBgn0000028
5,FBgn0000037
6,FBgn0000039
7,FBgn0000042
8,FBgn0000043
9,FBgn0000046
10,FBgn0000061
11,FBgn0000071
12,FBgn0000075
13,FBgn0000108
14,FBgn0000147
15,FBgn0000152
16,FBgn0000173
17,FBgn0000179
18,FBgn0000180
19,FBgn0000216
20,FBgn0000244
21,FBgn0000253
22,FBgn0000259
23,FBgn0000273
24,FBgn0000274
25,FBgn0000277
26,FBgn0000279
27,FBgn0000283
28,FBgn0000286
29,FBgn0000308
30,FBgn0000316
31,FBgn0000317
32,FBgn0000326
33,FBgn0000339
34,FBgn0000382
35,FBgn0000406
36,FBgn0000412
37,FBgn0000416
38,FBgn0000447
39,FBgn0000448
40,FBgn0000449
41,FBgn0000451
42,FBgn0000459
43,FBgn0000473
44,FBgn0000492
45,FBgn0000527
46,FBgn0000529
47,FBgn0000536
48,FBgn0000542
49,FBgn0000546
50,FBgn0000557
51,FBgn0000567
52,FBgn0000568
53,FBgn0000575
54,FBgn0000576
55,FBgn0000578
56,FBgn0000591
57,FBgn0000592
58,FBgn0000615
59,FBgn0000625
60,FBgn0000636
61,FBgn0000639
62,FBgn0000640
63,FBgn0000659
64,FBgn0000719
65,FBgn0000723
66,FBgn0000810
67,FBgn0001084
68,FBgn0001087
69,FBgn0001090
70,FBgn0001114
71,FBgn0001122
72,FBgn0001124
73,FBgn0001125
74,FBgn0001128
75,FBgn0001133
76,FBgn0001138
77,FBgn0001142
78,FBgn0001148
79,FBgn0001187
80,FBgn0001189
81,FBgn0001208
82,FBgn0001218
83,FBgn0001224
84,FBgn0001226
85,FBgn0001227
86,FBgn0001229
87,FBgn0001230
88,FBgn0001233
89,FBgn0001234
90,FBgn0001235
91,FBgn0001253
92,FBgn0001254
93,FBgn0001255
94,FBgn0001256
95,FBgn0001291
96,FBgn0001313
97,FBgn0001977
98,FBgn0001983
99,FBgn0001986
100,FBgn0002021
101,FBgn0002031
102,FBgn0002036
103,FBgn0002121
104,FBgn0002306
105,FBgn0002413
106,FBgn0002431
107,FBgn0002440
108,FBgn0002521
109,FBgn0002525
110,FBgn0002531
111,FBgn0002533
112,FBgn0002534
113,FBgn0002535
114,FBgn0002543
115,FBgn0002562
116,FBgn0002563
117,FBgn0002564
118,FBgn0002565
119,FBgn0002566
120,FBgn0002569
121,FBgn0002577
122,FBgn0002592
123,FBgn0002593
124,FBgn0002629
125,FBgn0002632
126,FBgn0002641
127,FBgn0002643
128,FBgn0002707
129,FBgn0002719
130,FBgn0002732
131,FBgn0002734
132,FBgn0002783
133,FBgn0002787
134,FBgn0002791
135,FBgn0002921
136,FBgn0002933
137,FBgn0002936
138,FBgn0002937
139,FBgn0002941
140,FBgn0003002
141,FBgn0003034
142,FBgn0003046
143,FBgn0003065
144,FBgn0003076
145,FBgn0003082
146,FBgn0003086
147,FBgn0003090
148,FBgn0003116
149,FBgn0003117
150,FBgn0003124
151,FBgn0003132
152,FBgn0003162
153,FBgn0003174
154,FBgn0003175
155,FBgn0003187
156,FBgn0003218
157,FBgn0003227
158,FBgn0003255
159,FBgn0003256
160,FBgn0003275
161,FBgn0003277
162,FBgn0003285
163,FBgn0003300
164,FBgn0003301
165,FBgn0003302
166,FBgn0003308
167,FBgn0003319
168,FBgn0003321
169,FBgn0003326
170,FBgn0003345
171,FBgn0003346
172,FBgn0003353
173,FBgn0003356
174,FBgn0003357
175,FBgn0003372
176,FBgn0003373
177,FBgn0003375
178,FBgn0003377
179,FBgn0003378
180,FBgn0003380
181,FBgn0003388
182,FBgn0003416
183,FBgn0003423
184,FBgn0003449
185,FBgn0003462
186,FBgn0003479
187,FBgn0003499
188,FBgn0003507
189,FBgn0003514
190,FBgn0003515
191,FBgn0003517
192,FBgn0003527
193,FBgn0003607
194,FBgn0003654
195,FBgn0003660
196,FBgn0003714
197,FBgn0003720
198,FBgn0003721
199,FBgn0003884
200,FBgn0003888
201,FBgn0003930
202,FBgn0003941
203,FBgn0003961
204,FBgn0003980
205,FBgn0003996
206,FBgn0003997
207,FBgn0004045
208,FBgn0004057
209,FBgn0004087
210,FBgn0004108
211,FBgn0004167
212,FBgn0004170
213,FBgn0004172
214,FBgn0004173
215,FBgn0004177
216,FBgn0004181
217,FBgn0004186
218,FBgn0004192
219,FBgn0004198
220,FBgn0004240
221,FBgn0004242
222,FBgn0004362
223,FBgn0004369
224,FBgn0004391
225,FBgn0004396
226,FBgn0004401
227,FBgn0004425
228,FBgn0004426
229,FBgn0004427
230,FBgn0004428
231,FBgn0004430
232,FBgn0004431
233,FBgn0004449
234,FBgn0004465
235,FBgn0004511
236,FBgn0004554
237,FBgn0004567
238,FBgn0004577
239,FBgn0004587
240,FBgn0004588
241,FBgn0004589
242,FBgn0004590
243,FBgn0004591
244,FBgn0004592
245,FBgn0004593
246,FBgn0004594
247,FBgn0004595
248,FBgn0004597
249,FBgn0004629
250,FBgn0004636
251,FBgn0004638
252,FBgn0004646
253,FBgn0004654
254,FBgn0004657
255,FBgn0004777
256,FBgn0004797
257,FBgn0004838
258,FBgn0004839
259,FBgn0004852
260,FBgn0004855
261,FBgn0004861
262,FBgn0004865
263,FBgn0004870
264,FBgn0004878
265,FBgn0004885
266,FBgn0004888
267,FBgn0004896
268,FBgn0004908
269,FBgn0004921
270,FBgn0004924
271,FBgn0004959
272,FBgn0005198
273,FBgn0005278
274,FBgn0005322
275,FBgn0005411
276,FBgn0005536
277,FBgn0005561
278,FBgn0005585
279,FBgn0005586
280,FBgn0005593
281,FBgn0005612
282,FBgn0005617
283,FBgn0005626
284,FBgn0005631
285,FBgn0005638
286,FBgn0005640
287,FBgn0005648
288,FBgn0005658
289,FBgn0005664
290,FBgn0005666
291,FBgn0005672
292,FBgn0005677
293,FBgn0005683
294,FBgn0005694
295,FBgn0008636
296,FBgn0008646
297,FBgn0010041
298,FBgn0010051
299,FBgn0010053
300,FBgn0010113
301,FBgn0010217
302,FBgn0010222
303,FBgn0010228
304,FBgn0010247
305,FBgn0010278
306,FBgn0010282
307,FBgn0010288
308,FBgn0010294
309,FBgn0010295
310,FBgn0010303
311,FBgn0010313
312,FBgn0010333
313,FBgn0010341
314,FBgn0010348
315,FBgn0010387
316,FBgn0010388
317,FBgn0010398
318,FBgn0010401
319,FBgn0010403
320,FBgn0010407
321,FBgn0010409
322,FBgn0010415
323,FBgn0010416
324,FBgn0010424
325,FBgn0010425
326,FBgn0010433
327,FBgn0010438
328,FBgn0010452
329,FBgn0010453
330,FBgn0010482
331,FBgn0010488
332,FBgn0010497
333,FBgn0010501
334,FBgn0010516
335,FBgn0010549
336,FBgn0010551
337,FBgn0010591
338,FBgn0010602
339,FBgn0010611
340,FBgn0010620
341,FBgn0010622
342,FBgn0010651
343,FBgn0010750
344,FBgn0010762
345,FBgn0010770
346,FBgn0010909
347,FBgn0011211
348,FBgn0011217
349,FBgn0011230
350,FBgn0011236
351,FBgn0011259
352,FBgn0011272
353,FBgn0011278
354,FBgn0011286
355,FBgn0011290
356,FBgn0011291
357,FBgn0011294
358,FBgn0011361
359,FBgn0011481
360,FBgn0011554
361,FBgn0011573
362,FBgn0011576
363,FBgn0011584
364,FBgn0011586
365,FBgn0011592
366,FBgn0011596
367,FBgn0011603
368,FBgn0011642
369,FBgn0011653
370,FBgn0011659
371,FBgn0011661
372,FBgn0011672
373,FBgn0011705
374,FBgn0011706
375,FBgn0011741
376,FBgn0011747
377,FBgn0011754
378,FBgn0011758
379,FBgn0011760
380,FBgn0011766
381,FBgn0011768
382,FBgn0011770
383,FBgn0011822
384,FBgn0011836
385,FBgn0012034
386,FBgn0012036
387,FBgn0012042
388,FBgn0012051
389,FBgn0013269
390,FBgn0013272
391,FBgn0013301
392,FBgn0013303
393,FBgn0013307
394,FBgn0013308
395,FBgn0013323
396,FBgn0013342
397,FBgn0013343
398,FBgn0013347
399,FBgn0013432
400,FBgn0013563
401,FBgn0013672
402,FBgn0013674
403,FBgn0013675
404,FBgn0013676
405,FBgn0013678
406,FBgn0013679
407,FBgn0013680
408,FBgn0013681
409,FBgn0013684
410,FBgn0013686
411,FBgn0013688
412,FBgn0013710
413,FBgn0013726
414,FBgn0013733
415,FBgn0013753
416,FBgn0013759
417,FBgn0013770
418,FBgn0013771
419,FBgn0013799
420,FBgn0013810
421,FBgn0013811
422,FBgn0013987
423,FBgn0013995
424,FBgn0014010
425,FBgn0014011
426,FBgn0014020
427,FBgn0014024
428,FBgn0014031
429,FBgn0014032
430,FBgn0014073
431,FBgn0014075
432,FBgn0014127
433,FBgn0014163
434,FBgn0014179
435,FBgn0014343
436,FBgn0014368
437,FBgn0014388
438,FBgn0014396
439,FBgn0014454
440,FBgn0014848
441,FBgn0014879
442,FBgn0014930
443,FBgn0015010
444,FBgn0015024
445,FBgn0015031
446,FBgn0015034
447,FBgn0015035
448,FBgn0015218
449,FBgn0015221
450,FBgn0015247
451,FBgn0015269
452,FBgn0015278
453,FBgn0015283
454,FBgn0015286
455,FBgn0015288
456,FBgn0015296
457,FBgn0015299
458,FBgn0015321
459,FBgn0015338
460,FBgn0015360
461,FBgn0015371
462,FBgn0015372
463,FBgn0015380
464,FBgn0015521
465,FBgn0015524
466,FBgn0015527
467,FBgn0015558
468,FBgn0015569
469,FBgn0015570
470,FBgn0015571
471,FBgn0015574
472,FBgn0015576
473,FBgn0015584
474,FBgn0015585
475,FBgn0015618
476,FBgn0015663
477,FBgn0015714
478,FBgn0015737
479,FBgn0015770
480,FBgn0015772
481,FBgn0015789
482,FBgn0015793
483,FBgn0015831
484,FBgn0015872
485,FBgn0015919
486,FBgn0015949
487,FBgn0016013
488,FBgn0016032
489,FBgn0016078
490,FBgn0016081
491,FBgn0016120
492,FBgn0016122
493,FBgn0016123
494,FBgn0016126
495,FBgn0016672
496,FBgn0016675
497,FBgn0016684
498,FBgn0016685
499,FBgn0016687
500,FBgn0016697
501,FBgn0016797
502,FBgn0016920
503,FBgn0016926
504,FBgn0016930
505,FBgn0016970
506,FBgn0017418
507,FBgn0017424
508,FBgn0017430
509,FBgn0017448
510,FBgn0017545
511,FBgn0017556
512,FBgn0017558
513,FBgn0017578
514,FBgn0017581
515,FBgn0019644
516,FBgn0019662
517,FBgn0019809
518,FBgn0019830
519,FBgn0019932
520,FBgn0019936
521,FBgn0019949
522,FBgn0019952
523,FBgn0019957
524,FBgn0019972
525,FBgn0020224
526,FBgn0020235
527,FBgn0020238
528,FBgn0020255
529,FBgn0020257
530,FBgn0020258
531,FBgn0020269
532,FBgn0020277
533,FBgn0020279
534,FBgn0020299
535,FBgn0020304
536,FBgn0020309
537,FBgn0020372
538,FBgn0020377
539,FBgn0020391
540,FBgn0020496
541,FBgn0020503
542,FBgn0020506
543,FBgn0020508
544,FBgn0020510
545,FBgn0020521
546,FBgn0020545
547,FBgn0020618
548,FBgn0020639
549,FBgn0020640
550,FBgn0020641
551,FBgn0020642
552,FBgn0020645
553,FBgn0020906
554,FBgn0020930
555,FBgn0021742
556,FBgn0021750
557,FBgn0021760
558,FBgn0021776
559,FBgn0021800
560,FBgn0021825
561,FBgn0021847
562,FBgn0021872
563,FBgn0021874
564,FBgn0021875
565,FBgn0021895
566,FBgn0021906
567,FBgn0021944
568,FBgn0022213
569,FBgn0022238
570,FBgn0022349
571,FBgn0022361
572,FBgn0022774
573,FBgn0022786
574,FBgn0022959
575,FBgn0022981
576,FBgn0022985
577,FBgn0022986
578,FBgn0023000
579,FBgn0023096
580,FBgn0023167
581,FBgn0023181
582,FBgn0023212
583,FBgn0023506
584,FBgn0023507
585,FBgn0023509
586,FBgn0023519
587,FBgn0023525
588,FBgn0023526
589,FBgn0023529
590,FBgn0023530
591,FBgn0023531
592,FBgn0023537
593,FBgn0023541
594,FBgn0023542
595,FBgn0023550
596,FBgn0024194
597,FBgn0024234
598,FBgn0024250
599,FBgn0024273
600,FBgn0024288
601,FBgn0024289
602,FBgn0024294
603,FBgn0024314
604,FBgn0024315
605,FBgn0024320
606,FBgn0024362
607,FBgn0024366
608,FBgn0024491
609,FBgn0024542
610,FBgn0024555
611,FBgn0024733
612,FBgn0024734
613,FBgn0024740
614,FBgn0024807
615,FBgn0024811
616,FBgn0024814
617,FBgn0024836
618,FBgn0024841
619,FBgn0024889
620,FBgn0024912
621,FBgn0024941
622,FBgn0024957
623,FBgn0024985
624,FBgn0024987
625,FBgn0024989
626,FBgn0024995
627,FBgn0024997
628,FBgn0024998
629,FBgn0025111
630,FBgn0025390
631,FBgn0025394
632,FBgn0025454
633,FBgn0025456
634,FBgn0025469
635,FBgn0025519
636,FBgn0025549
637,FBgn0025571
638,FBgn0025573
639,FBgn0025578
640,FBgn0025592
641,FBgn0025595
642,FBgn0025608
643,FBgn0025616
644,FBgn0025624
645,FBgn0025627
646,FBgn0025630
647,FBgn0025631
648,FBgn0025632
649,FBgn0025639
650,FBgn0025640
651,FBgn0025643
652,FBgn0025674
653,FBgn0025680
654,FBgn0025682
655,FBgn0025693
656,FBgn0025697
657,FBgn0025709
658,FBgn0025725
659,FBgn0025739
660,FBgn0025740
661,FBgn0025777
662,FBgn0025781
663,FBgn0025814
664,FBgn0025838
665,FBgn0025865
666,FBgn0025866
667,FBgn0025879
668,FBgn0025885
669,FBgn0026056
670,FBgn0026076
671,FBgn0026077
672,FBgn0026084
673,FBgn0026086
674,FBgn0026136
675,FBgn0026147
676,FBgn0026169
677,FBgn0026199
678,FBgn0026238
679,FBgn0026268
680,FBgn0026314
681,FBgn0026324
682,FBgn0026371
683,FBgn0026372
684,FBgn0026374
685,FBgn0026378
686,FBgn0026379
687,FBgn0026386
688,FBgn0026400
689,FBgn0026401
690,FBgn0026409
691,FBgn0026431
692,FBgn0026439
693,FBgn0026441
694,FBgn0026533
695,FBgn0026565
696,FBgn0026575
697,FBgn0026576
698,FBgn0026592
699,FBgn0026630
700,FBgn0026634
701,FBgn0026666
702,FBgn0026679
703,FBgn0026754
704,FBgn0026755
705,FBgn0026756
706,FBgn0026761
707,FBgn0026787
708,FBgn0026872
709,FBgn0026874
710,FBgn0027070
711,FBgn0027073
712,FBgn0027083
713,FBgn0027095
714,FBgn0027111
715,FBgn0027291
716,FBgn0027334
717,FBgn0027335
718,FBgn0027339
719,FBgn0027348
720,FBgn0027363
721,FBgn0027378
722,FBgn0027491
723,FBgn0027497
724,FBgn0027499
725,FBgn0027505
726,FBgn0027509
727,FBgn0027513
728,FBgn0027524
729,FBgn0027528
730,FBgn0027538
731,FBgn0027539
732,FBgn0027547
733,FBgn0027563
734,FBgn0027564
735,FBgn0027567
736,FBgn0027575
737,FBgn0027579
738,FBgn0027582
739,FBgn0027583
740,FBgn0027584
741,FBgn0027586
742,FBgn0027587
743,FBgn0027594
744,FBgn0027596
745,FBgn0027598
746,FBgn0027600
747,FBgn0027615
748,FBgn0027619
749,FBgn0027620
750,FBgn0027655
751,FBgn0027780
752,FBgn0027786
753,FBgn0027788
754,FBgn0027790
755,FBgn0027794
756,FBgn0027864
757,FBgn0027929
758,FBgn0027932
759,FBgn0027934
760,FBgn0027950
761,FBgn0028331
762,FBgn0028343
763,FBgn0028372
764,FBgn0028374
765,FBgn0028381
766,FBgn0028398
767,FBgn0028418
768,FBgn0028425
769,FBgn0028427
770,FBgn0028474
771,FBgn0028484
772,FBgn0028504
773,FBgn0028513
774,FBgn0028518
775,FBgn0028530
776,FBgn0028532
777,FBgn0028533
778,FBgn0028538
779,FBgn0028540
780,FBgn0028544
781,FBgn0028546
782,FBgn0028552
783,FBgn0028560
784,FBgn0028561
785,FBgn0028563
786,FBgn0028573
787,FBgn0028579
788,FBgn0028658
789,FBgn0028664
790,FBgn0028670
791,FBgn0028671
792,FBgn0028675
793,FBgn0028684
794,FBgn0028689
795,FBgn0028690
796,FBgn0028692
797,FBgn0028694
798,FBgn0028695
799,FBgn0028703
800,FBgn0028707
801,FBgn0028734
802,FBgn0028743
803,FBgn0028841
804,FBgn0028853
805,FBgn0028855
806,FBgn0028856
807,FBgn0028870
808,FBgn0028872
809,FBgn0028875
810,FBgn0028886
811,FBgn0028919
812,FBgn0028920
813,FBgn0028926
814,FBgn0028931
815,FBgn0028938
816,FBgn0028939
817,FBgn0028940
818,FBgn0028941
819,FBgn0028944
820,FBgn0028948
821,FBgn0028950
822,FBgn0028953
823,FBgn0028962
824,FBgn0028965
825,FBgn0028978
826,FBgn0028984
827,FBgn0028992
828,FBgn0028997
829,FBgn0028999
830,FBgn0029002
831,FBgn0029093
832,FBgn0029123
833,FBgn0029147
834,FBgn0029157
835,FBgn0029167
836,FBgn0029170
837,FBgn0029508
838,FBgn0029514
839,FBgn0029518
840,FBgn0029523
841,FBgn0029529
842,FBgn0029552
843,FBgn0029573
844,FBgn0029587
845,FBgn0029594
846,FBgn0029596
847,FBgn0029606
848,FBgn0029608
849,FBgn0029629
850,FBgn0029639
851,FBgn0029648
852,FBgn0029657
853,FBgn0029665
854,FBgn0029676
855,FBgn0029679
856,FBgn0029685
857,FBgn0029687
858,FBgn0029694
859,FBgn0029708
860,FBgn0029710
861,FBgn0029723
862,FBgn0029737
863,FBgn0029745
864,FBgn0029754
865,FBgn0029761
866,FBgn0029762
867,FBgn0029765
868,FBgn0029769
869,FBgn0029770
870,FBgn0029783
871,FBgn0029801
872,FBgn0029804
873,FBgn0029809
874,FBgn0029814
875,FBgn0029821
876,FBgn0029826
877,FBgn0029828
878,FBgn0029835
879,FBgn0029848
880,FBgn0029849
881,FBgn0029851
882,FBgn0029854
883,FBgn0029857
884,FBgn0029858
885,FBgn0029866
886,FBgn0029868
887,FBgn0029873
888,FBgn0029877
889,FBgn0029878
890,FBgn0029880
891,FBgn0029888
892,FBgn0029891
893,FBgn0029892
894,FBgn0029893
895,FBgn0029894
896,FBgn0029895
897,FBgn0029898
898,FBgn0029903
899,FBgn0029909
900,FBgn0029930
901,FBgn0029932
902,FBgn0029935
903,FBgn0029937
904,FBgn0029939
905,FBgn0029941
906,FBgn0029942
907,FBgn0029955
908,FBgn0029957
909,FBgn0029962
910,FBgn0029969
911,FBgn0029979
912,FBgn0029987
913,FBgn0029990
914,FBgn0029996
915,FBgn0029999
916,FBgn0030025
917,FBgn0030026
918,FBgn0030030
919,FBgn0030034
920,FBgn0030039
921,FBgn0030052
922,FBgn0030055
923,FBgn0030057
924,FBgn0030063
925,FBgn0030066
926,FBgn0030067
927,FBgn0030071
928,FBgn0030082
929,FBgn0030093
930,FBgn0030096
931,FBgn0030097
932,FBgn0030098
933,FBgn0030099
934,FBgn0030100
935,FBgn0030104
936,FBgn0030105
937,FBgn0030108
938,FBgn0030114
939,FBgn0030122
940,FBgn0030136
941,FBgn0030157
942,FBgn0030158
943,FBgn0030162
944,FBgn0030164
945,FBgn0030178
946,FBgn0030183
947,FBgn0030189
948,FBgn0030195
949,FBgn0030208
950,FBgn0030215
951,FBgn0030217
952,FBgn0030224
953,FBgn0030230
954,FBgn0030243
955,FBgn0030246
956,FBgn0030260
957,FBgn0030266
958,FBgn0030300
959,FBgn0030309
960,FBgn0030313
961,FBgn0030326
962,FBgn0030327
963,FBgn0030328
964,FBgn0030331
965,FBgn0030332
966,FBgn0030345
967,FBgn0030348
968,FBgn0030349
969,FBgn0030351
970,FBgn0030357
971,FBgn0030360
972,FBgn0030361
973,FBgn0030369
974,FBgn0030384
975,FBgn0030391
976,FBgn0030394
977,FBgn0030396
978,FBgn0030400
979,FBgn0030409
980,FBgn0030411
981,FBgn0030418
982,FBgn0030425
983,FBgn0030433
984,FBgn0030441
985,FBgn0030457
986,FBgn0030465
987,FBgn0030467
988,FBgn0030474
989,FBgn0030478
990,FBgn0030479
991,FBgn0030484
992,FBgn0030493
993,FBgn0030494
994,FBgn0030505
995,FBgn0030506
996,FBgn0030510
997,FBgn0030519
998,FBgn0030544
999,FBgn0030554
1000,FBgn0030555
1001,FBgn0030558
1002,FBgn0030562
1003,FBgn0030563
1004,FBgn0030569
1005,FBgn0030571
1006,FBgn0030584
1007,FBgn0030586
1008,FBgn0030612
1009,FBgn0030629
1010,FBgn0030638
1011,FBgn0030641
1012,FBgn0030642
1013,FBgn0030648
1014,FBgn0030660
1015,FBgn0030664
1016,FBgn0030665
1017,FBgn0030666
1018,FBgn0030668
1019,FBgn0030671
1020,FBgn0030675
1021,FBgn0030683
1022,FBgn0030684
1023,FBgn0030686
1024,FBgn0030693
1025,FBgn0030695
1026,FBgn0030696
1027,FBgn0030700
1028,FBgn0030703
1029,FBgn0030711
1030,FBgn0030719
1031,FBgn0030738
1032,FBgn0030742
1033,FBgn0030743
1034,FBgn0030745
1035,FBgn0030749
1036,FBgn0030756
1037,FBgn0030759
1038,FBgn0030763
1039,FBgn0030770
1040,FBgn0030776
1041,FBgn0030788
1042,FBgn0030793
1043,FBgn0030796
1044,FBgn0030801
1045,FBgn0030806
1046,FBgn0030816
1047,FBgn0030828
